states,Confirmed,Deaths,Recovered
Alabama,259691,9226,0
Alaska,14365,380,7437
Arizona,279095,11469,232
Arkansas,110132,2240,52854
California,1804039,67188,142052
Colorado,478705,22622,17964
Colorado ,62361,2572,2364
Connecticut,929907,69117,2055
Delaware,153055,4763,45881
Diamond Princess,3392,0,0
District of Columbia,154909,6814,24721
Federal Bureau of Prisons,59541,990,18859
Florida,1253188,42414,6368
Georgia,937785,37868,11560
Grand Princess,5535,157,0
Guam,6414,219,3852
Hawaii,25389,512,16745
Idaho,78639,2051,26386
Illinois,1843116,76853,25975
Indiana,615931,33899,42990
Iowa,240736,5299,90221
Kansas,146950,4625,29111
Kentucky,162587,8000,47405
Louisiana,1085884,64716,396170
Maine,43183,1723,20704
Maryland,752456,34823,47059
Massachusetts,2044575,107532,134309
Michigan,1501532,121586,330658
Minnesota,204184,11099,107390
Mississippi,239028,9455,57862
Missouri,288369,11673,52629
Montana,19154,520,11644
Navajo Nation,66499,2273,0
Nebraska,146124,2076,1503
Nevada,187205,8215,99735
New Hampshire,79114,2608,28132
New Jersey,4153614,227168,35030
New Mexico,114778,4018,26180
New York,11499791,771318,1159610
North Carolina,376950,12518,73128
North Dakota,35073,744,14958
Northern Mariana Islands,583,82,311
Ohio,615333,30279,29831
Oklahoma,131926,7422,74928
Oregon,97515,3647,19349
Others (repatriated from Wuhan),9,0,0
Pennsylvania,1640368,78690,25206
Puerto Rico,58759,3038,850
Rhode Island,270182,8868,13398
South Carolina,221139,7820,52032
South Dakota,80617,656,45388
Tennessee,408291,7137,171221
Texas,1031597,26620,384425
US Military,223315,834,69576
USA (Aggregate Recovered),0,0,104118
United States Virgin Islands,2662,121,1872
Utah,169292,1595,32438
Vermont,35785,1810,5393
Veteran Affair,227822,15877,0
Virginia,540757,18093,44538
Washington,616388,31881,71547
West Virginia,40326,1243,15656
Wisconsin,259488,10817,79206
Wuhan Evacuee,264,0,0
Wyoming,19639,180,11454
