name,Region,Last Update,Confirmed,Deaths,Recovered
New York,USA,2020-04-19 03:00:00,242570,17627,28884
New Jersey,USA,2020-04-19 03:00:00,81599,4249,498
Massachusetts,USA,2020-04-19 03:00:00,36372,1560,1299
Pennsylvania,USA,2020-04-19 03:00:00,31795,1105,373
California,USA,2020-04-19 03:00:00,30812,1148,2740
Michigan,USA,2020-04-19 03:00:00,30791,2308,3237
Illinois,USA,2020-04-19 03:00:00,29161,1259,606
Florida,USA,2020-04-19 03:00:00,25492,748,174
Louisiana,USA,2020-04-19 03:00:00,23580,1267,0
Texas,USA,2020-04-19 03:00:00,18905,483,4806
Georgia,USA,2020-04-19 03:00:00,17841,677,340
Connecticut,USA,2020-04-19 03:00:00,17550,1086,63
Maryland,USA,2020-04-19 03:00:00,12326,537,771
Washington,USA,2020-04-19 03:00:00,12064,630,1765
Indiana,USA,2020-04-19 03:00:00,10641,545,173
Ohio,USA,2020-04-19 03:00:00,10222,451,448
Colorado,USA,2020-04-19 03:00:00,9440,413,529
Virginia,USA,2020-04-19 03:00:00,8053,258,721
Tennessee,USA,2020-04-19 03:00:00,6762,146,3234
North Carolina,USA,2020-04-19 03:00:00,6376,191,1177
Missouri,USA,2020-04-19 03:00:00,5596,198,511
US Military,USA,2020-04-19 03:00:00,4849,19,1110
Arizona,USA,2020-04-19 03:00:00,4724,180,6
Alabama,USA,2020-04-19 03:00:00,4723,147,0
Rhode Island,USA,2020-04-19 03:00:00,4491,137,0
South Carolina,USA,2020-04-19 03:00:00,4248,119,0
Wisconsin,USA,2020-04-19 03:00:00,4199,212,194
Mississippi,USA,2020-04-19 03:00:00,3974,152,0
Nevada,USA,2020-04-19 03:00:00,3644,151,1770
Utah,USA,2020-04-19 03:00:00,2933,25,220
Kentucky,USA,2020-04-19 03:00:00,2707,144,979
District of Columbia,USA,2020-04-19 03:00:00,2666,91,608
Oklahoma,USA,2020-04-19 03:00:00,2570,139,1534
Delaware,USA,2020-04-19 03:00:00,2538,67,466
Iowa,USA,2020-04-19 03:00:00,2513,74,1095
Minnesota,USA,2020-04-19 03:00:00,2213,121,1118
Kansas,USA,2020-04-19 03:00:00,1854,86,421
Oregon,USA,2020-04-19 03:00:00,1844,72,42
New Mexico,USA,2020-04-19 03:00:00,1798,53,465
Arkansas,USA,2020-04-19 03:00:00,1777,38,726
Idaho,USA,2020-04-19 03:00:00,1668,44,520
South Dakota,USA,2020-04-19 03:00:00,1542,7,552
New Hampshire,USA,2020-04-19 03:00:00,1342,38,513
Nebraska,USA,2020-04-19 03:00:00,1287,28,0
Navajo Nation,USA,2020-04-19 03:00:00,1127,44,0
Puerto Rico,USA,2020-04-19 03:00:00,1118,60,0
Maine,USA,2020-04-19 03:00:00,847,32,382
West Virginia,USA,2020-04-19 03:00:00,826,18,255
Vermont,USA,2020-04-19 03:00:00,803,38,0
Federal Bureau of Prisons,USA,2020-04-19 03:00:00,784,21,171
Hawaii,USA,2020-04-19 03:00:00,574,9,390
North Dakota,USA,2020-04-19 03:00:00,528,9,183
Montana,USA,2020-04-19 03:00:00,426,10,243
Alaska,USA,2020-04-19 03:00:00,314,9,128
Wyoming,USA,2020-04-19 03:00:00,309,2,227
Guam,USA,2020-04-19 03:00:00,136,5,97
Grand Princess,USA,2020-04-19 03:00:00,103,3,0
United States Virgin Islands,USA,2020-04-19 03:00:00,53,3,46
Diamond Princess,USA,2020-04-19 03:00:00,49,0,0
Northern Mariana Islands,USA,2020-04-19 03:00:00,14,2,9
Wuhan Evacuee,USA,2020-04-19 03:00:00,4,0,0
New York,USA,2020-04-20 03:00:00,248417,18298,29275
New Jersey,USA,2020-04-20 03:00:00,85301,4362,730
Massachusetts,USA,2020-04-20 03:00:00,38077,1706,1299
Pennsylvania,USA,2020-04-20 03:00:00,32902,1276,466
California,USA,2020-04-20 03:00:00,31531,1180,3053
Michigan,USA,2020-04-20 03:00:00,31424,2391,3237
Illinois,USA,2020-04-20 03:00:00,30357,1290,606
Florida,USA,2020-04-20 03:00:00,26314,774,174
Louisiana,USA,2020-04-20 03:00:00,23928,1296,0
Texas,USA,2020-04-20 03:00:00,19410,500,5534
Georgia,USA,2020-04-20 03:00:00,18301,687,340
Connecticut,USA,2020-04-20 03:00:00,17962,1127,63
Maryland,USA,2020-04-20 03:00:00,12847,548,914
Washington,USA,2020-04-20 03:00:00,12064,634,1778
Ohio,USA,2020-04-20 03:00:00,11602,471,448
Indiana,USA,2020-04-20 03:00:00,11211,562,1557
Colorado,USA,2020-04-20 03:00:00,9730,422,559
Virginia,USA,2020-04-20 03:00:00,8542,277,721
Tennessee,USA,2020-04-20 03:00:00,7070,148,3344
North Carolina,USA,2020-04-20 03:00:00,6605,200,1177
Missouri,USA,2020-04-20 03:00:00,5807,199,545
Veteran Affair,USA,2020-04-20 03:00:00,5437,326,0
Arizona,USA,2020-04-20 03:00:00,4933,184,6
Alabama,USA,2020-04-20 03:00:00,4903,160,0
US Military,USA,2020-04-20 03:00:00,4849,19,1110
Rhode Island,USA,2020-04-20 03:00:00,4706,150,0
South Carolina,USA,2020-04-20 03:00:00,4377,120,0
Wisconsin,USA,2020-04-20 03:00:00,4346,220,196
Mississippi,USA,2020-04-20 03:00:00,4274,159,0
Nevada,USA,2020-04-20 03:00:00,3728,158,1880
Utah,USA,2020-04-20 03:00:00,3069,27,218
Kentucky,USA,2020-04-20 03:00:00,2960,148,1174
Iowa,USA,2020-04-20 03:00:00,2902,75,1171
District of Columbia,USA,2020-04-20 03:00:00,2793,96,622
Oklahoma,USA,2020-04-20 03:00:00,2599,140,1575
