name,Deaths
Alabama,8348
Alaska,288
Arizona,10387
Arkansas,1962
California,60122
Colorado,20992
Colorado ,1450
Connecticut,64857
Delaware,4453
Diamond Princess,0
District of Columbia,6392
Federal Bureau of Prisons,990
Florida,38013
Georgia,33008
Grand Princess,93
Guam,155
Hawaii,442
Idaho,1792
Illinois,70918
Indiana,31078
Iowa,4951
Kansas,4131
Kentucky,7068
Louisiana,56002
Maine,1541
Maryland,33173
Massachusetts,101840
Michigan,108880
Minnesota,10528
Mississippi,8589
Missouri,10592
Montana,428
Navajo Nation,2057
Nebraska,1916
Nevada,7166
New Hampshire,2405
New Jersey,208347
New Mexico,3802
New York,689299
North Carolina,11699
North Dakota,675
Northern Mariana Islands,62
Ohio,27883
Oklahoma,6476
Oregon,3056
Pennsylvania,74614
Puerto Rico,2655
Rhode Island,8397
South Carolina,6970
South Dakota,578
Tennessee,6124
Texas,23926
US Military,764
United States Virgin Islands,112
Utah,1413
Vermont,1426
Veteran Affair,15877
Virginia,16836
Washington,24345
West Virginia,1184
Wisconsin,9471
Wuhan Evacuee,0
Wyoming,179
